Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
Cemip	current symbol	MGI:2443629	Cemip	cell migration inducing protein, hyaluronan binding	protein coding gene	ENSMUSG00000052353	80982
Cenpj	current symbol	MGI:2684927	Cenpj	centromere protein J	protein coding gene	ENSMUSG00000064128	219103
Cenpx	current symbol	MGI:894324	Cenpx	centromere protein X	protein coding gene	ENSMUSG00000025144	20892
Cep83	current symbol	MGI:1924298	Cep83	centrosomal protein 83	protein coding gene	ENSMUSG00000020024	77048
Cfap70	current symbol	MGI:1923920	Cfap70	cilia and flagella associated protein 70	protein coding gene	ENSMUSG00000039543	76670
Cgnl1	current symbol	MGI:1915428	Cgnl1	cingulin-like 1	protein coding gene	ENSMUSG00000032232	68178
Chac1	current symbol	MGI:1916315	Chac1	ChaC, cation transport regulator 1	protein coding gene	ENSMUSG00000027313	69065
Chchd10	current symbol	MGI:2143558	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10	protein coding gene	ENSMUSG00000049422	103172
Chpt1	current symbol	MGI:2384841	Chpt1	choline phosphotransferase 1	protein coding gene	ENSMUSG00000060002	212862
Chrm1	current symbol	MGI:88396	Chrm1	cholinergic receptor, muscarinic 1, CNS	protein coding gene	ENSMUSG00000032773	12669
Chrm3	current symbol	MGI:88398	Chrm3	cholinergic receptor, muscarinic 3, cardiac	protein coding gene	ENSMUSG00000046159	12671
Chrm4	current symbol	MGI:88399	Chrm4	cholinergic receptor, muscarinic 4	protein coding gene	ENSMUSG00000040495	12672
Chrna3	current symbol	MGI:87887	Chrna3	cholinergic receptor, nicotinic, alpha polypeptide 3	protein coding gene	ENSMUSG00000032303	110834
Chrna4	current symbol	MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	protein coding gene	ENSMUSG00000027577	11438
Chst1	current symbol	MGI:1924219	Chst1	carbohydrate sulfotransferase 1	protein coding gene	ENSMUSG00000027221	76969
Chst11	current symbol	MGI:1927166	Chst11	carbohydrate sulfotransferase 11	protein coding gene	ENSMUSG00000034612	58250
Chst2	current symbol	MGI:1891160	Chst2	carbohydrate sulfotransferase 2	protein coding gene	ENSMUSG00000033350	54371
Chst8	current symbol	MGI:1916197	Chst8	carbohydrate sulfotransferase 8	protein coding gene	ENSMUSG00000060402	68947
Ciart	current symbol	MGI:2684975	Ciart	circadian associated repressor of transcription	protein coding gene	ENSMUSG00000038550	229599
Cipc	current symbol	MGI:1919185	Cipc	CLOCK interacting protein, circadian	protein coding gene	ENSMUSG00000034157	217732
Cish	current symbol	MGI:103159	Cish	cytokine inducible SH2-containing protein	protein coding gene	ENSMUSG00000032578	12700
CK137956	current symbol	MGI:3616080	CK137956	cDNA sequence CK137956	protein coding gene	ENSMUSG00000028813	635169
Clcn2	current symbol	MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	protein coding gene	ENSMUSG00000022843	12724
Clic4	current symbol	MGI:1352754	Clic4	chloride intracellular channel 4 (mitochondrial)	protein coding gene	ENSMUSG00000037242	29876
Clip1	current symbol	MGI:1928401	Clip1	CAP-GLY domain containing linker protein 1	protein coding gene	ENSMUSG00000049550	56430
Clk3	current symbol	MGI:1098670	Clk3	CDC-like kinase 3	protein coding gene	ENSMUSG00000032316	102414
Clmp	current symbol	MGI:1918816	Clmp	CXADR-like membrane protein	protein coding gene	ENSMUSG00000032024	71566
Clptm1	current symbol	MGI:1927155	Clptm1	cleft lip and palate associated transmembrane protein 1	protein coding gene	ENSMUSG00000002981	56457
Clvs2	current symbol	MGI:2443223	Clvs2	clavesin 2	protein coding gene	ENSMUSG00000019785	215890
Clybl	current symbol	MGI:1916884	Clybl	citrate lyase beta like	protein coding gene	ENSMUSG00000025545	69634
Cmpk2	current symbol	MGI:99830	Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	protein coding gene	ENSMUSG00000020638	22169
Cmtm3	current symbol	MGI:2447162	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	protein coding gene	ENSMUSG00000031875	68119
Cmtm5	current symbol	MGI:2447164	Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	protein coding gene	ENSMUSG00000040759	67272
Cnep1r1	current symbol	MGI:1921981	Cnep1r1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	protein coding gene	ENSMUSG00000036810	382030
Cnih3	current symbol	MGI:1920228	Cnih3	cornichon family AMPA receptor auxiliary protein 3	protein coding gene	ENSMUSG00000026514	72978
Cnr1	current symbol	MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	protein coding gene	ENSMUSG00000044288	12801
Cnst	current symbol	MGI:2445141	Cnst	consortin, connexin sorting protein	protein coding gene	ENSMUSG00000038949	226744
Cntfr	current symbol	MGI:99605	Cntfr	ciliary neurotrophic factor receptor	protein coding gene	ENSMUSG00000028444	12804
Cntn4	current symbol	MGI:1095737	Cntn4	contactin 4	protein coding gene	ENSMUSG00000064293	269784
Cntnap1	current symbol	MGI:1858201	Cntnap1	contactin associated protein-like 1	protein coding gene	ENSMUSG00000017167	53321
Col16a1	current symbol	MGI:1095396	Col16a1	collagen, type XVI, alpha 1	protein coding gene	ENSMUSG00000040690	107581
Col18a1	current symbol	MGI:88451	Col18a1	collagen, type XVIII, alpha 1	protein coding gene	ENSMUSG00000001435	12822
Col4a1	current symbol	MGI:88454	Col4a1	collagen, type IV, alpha 1	protein coding gene	ENSMUSG00000031502	12826
Col4a2	current symbol	MGI:88455	Col4a2	collagen, type IV, alpha 2	protein coding gene	ENSMUSG00000031503	12827
Col5a1	current symbol	MGI:88457	Col5a1	collagen, type V, alpha 1	protein coding gene	ENSMUSG00000026837	12831
Col6a1	current symbol	MGI:88459	Col6a1	collagen, type VI, alpha 1	protein coding gene	ENSMUSG00000001119	12833
Col6a2	current symbol	MGI:88460	Col6a2	collagen, type VI, alpha 2	protein coding gene	ENSMUSG00000020241	12834
Col6a5	current symbol	MGI:3648134	Col6a5	collagen, type VI, alpha 5	protein coding gene	ENSMUSG00000091345	665033
Colgalt2	current symbol	MGI:2138232	Colgalt2	collagen beta(1-O)galactosyltransferase 2	protein coding gene	ENSMUSG00000032649	269132
Commd6	current symbol	MGI:1913450	Commd6	COMM domain containing 6	protein coding gene	ENSMUSG00000075486	66200
Commd8	current symbol	MGI:1343485	Commd8	COMM domain containing 8	protein coding gene	ENSMUSG00000029213	27784
Coro1c	current symbol	MGI:1345964	Coro1c	coronin, actin binding protein 1C	protein coding gene	ENSMUSG00000004530	23790
Coro2b	current symbol	MGI:2444283	Coro2b	coronin, actin binding protein, 2B	protein coding gene	ENSMUSG00000041729	235431
Coro6	current symbol	MGI:2183448	Coro6	coronin 6	protein coding gene	ENSMUSG00000020836	216961
Cort	current symbol	MGI:109538	Cort	cortistatin	protein coding gene	ENSMUSG00000028971	12854
Cox6a2	current symbol	MGI:104649	Cox6a2	cytochrome c oxidase subunit 6A2	protein coding gene	ENSMUSG00000030785	12862
Cpd	current symbol	MGI:107265	Cpd	carboxypeptidase D	protein coding gene	ENSMUSG00000020841	12874
Cplane1	current symbol	MGI:1920942	Cplane1	ciliogenesis and planar polarity effector 1	protein coding gene	ENSMUSG00000039801	73692
Cplx2	current symbol	MGI:104726	Cplx2	complexin 2	protein coding gene	ENSMUSG00000025867	12890
Cplx3	current symbol	MGI:2384571	Cplx3	complexin 3	protein coding gene	ENSMUSG00000039714	235415
Cpne5	current symbol	MGI:2385908	Cpne5	copine V	protein coding gene	ENSMUSG00000024008	240058
Cpne7	current symbol	MGI:2142747	Cpne7	copine VII	protein coding gene	ENSMUSG00000034796	102278
Cpxm1	current symbol	MGI:1934569	Cpxm1	carboxypeptidase X 1 (M14 family)	protein coding gene	ENSMUSG00000027408	56264
Crat	current symbol	MGI:109501	Crat	carnitine acetyltransferase	protein coding gene	ENSMUSG00000026853	12908
Creb3l1	current symbol	MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	protein coding gene	ENSMUSG00000027230	26427
Crebbp	current symbol	MGI:1098280	Crebbp	CREB binding protein	protein coding gene	ENSMUSG00000022521	12914
Creg1	current symbol	MGI:1344382	Creg1	cellular repressor of E1A-stimulated genes 1	protein coding gene	ENSMUSG00000040713	433375
Crhbp	current symbol	MGI:88497	Crhbp	corticotropin releasing hormone binding protein	protein coding gene	ENSMUSG00000021680	12919
Crhr2	current symbol	MGI:894312	Crhr2	corticotropin releasing hormone receptor 2	protein coding gene	ENSMUSG00000003476	12922
Crmp1	current symbol	MGI:107793	Crmp1	collapsin response mediator protein 1	protein coding gene	ENSMUSG00000029121	12933
Crocc	current symbol	MGI:3529431	Crocc	ciliary rootlet coiled-coil, rootletin	protein coding gene	ENSMUSG00000040860	230872
Crot	current symbol	MGI:1921364	Crot	carnitine O-octanoyltransferase	protein coding gene	ENSMUSG00000003623	74114
Crtac1	current symbol	MGI:1920082	Crtac1	cartilage acidic protein 1	protein coding gene	ENSMUSG00000042401	72832
Cry2	current symbol	MGI:1270859	Cry2	cryptochrome 2 (photolyase-like)	protein coding gene	ENSMUSG00000068742	12953
Csgalnact1	current symbol	MGI:2442354	Csgalnact1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	protein coding gene	ENSMUSG00000036356	234356
Csnk1a1	current symbol	MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	protein coding gene	ENSMUSG00000024576	93687
Csrp1	current symbol	MGI:88549	Csrp1	cysteine and glycine-rich protein 1	protein coding gene	ENSMUSG00000026421	13007
Cth	current symbol	MGI:1339968	Cth	cystathionase (cystathionine gamma-lyase)	protein coding gene	ENSMUSG00000028179	107869
Cthrc1	current symbol	MGI:1915838	Cthrc1	collagen triple helix repeat containing 1	protein coding gene	ENSMUSG00000054196	68588
Ctso	current symbol	MGI:2139628	Ctso	cathepsin O	protein coding gene	ENSMUSG00000028015	229445
Ctxn2	current symbol	MGI:2139444	Ctxn2	cortexin 2	protein coding gene	ENSMUSG00000074872	381418
Cul3	current symbol	MGI:1347360	Cul3	cullin 3	protein coding gene	ENSMUSG00000004364	26554
Cux2	current symbol	MGI:107321	Cux2	cut-like homeobox 2	protein coding gene	ENSMUSG00000042589	13048
Cwf19l1	current symbol	MGI:1919752	Cwf19l1	CWF19-like 1, cell cycle control (S. pombe)	protein coding gene	ENSMUSG00000025200	72502
Cwh43	current symbol	MGI:2444131	Cwh43	cell wall biogenesis 43 C-terminal homolog	protein coding gene	ENSMUSG00000029154	231293
Cx3cl1	current symbol	MGI:1097153	Cx3cl1	chemokine (C-X3-C motif) ligand 1	protein coding gene	ENSMUSG00000031778	20312
Cxcl12	current symbol	MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	protein coding gene	ENSMUSG00000061353	20315
Cxcl14	current symbol	MGI:1888514	Cxcl14	chemokine (C-X-C motif) ligand 14	protein coding gene	ENSMUSG00000021508	57266
Cyb5r1	current symbol	MGI:1919267	Cyb5r1	cytochrome b5 reductase 1	protein coding gene	ENSMUSG00000026456	72017
Cygb	current symbol	MGI:2149481	Cygb	cytoglobin	protein coding gene	ENSMUSG00000020810	114886
Cyp2s1	current symbol	MGI:1921384	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1	protein coding gene	ENSMUSG00000040703	74134
Cyp2u1	current symbol	MGI:1918769	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1	protein coding gene	ENSMUSG00000027983	71519
Cyp46a1	current symbol	MGI:1341877	Cyp46a1	cytochrome P450, family 46, subfamily a, polypeptide 1	protein coding gene	ENSMUSG00000021259	13116
D430036J16Rik	current symbol	MGI:2441977	D430036J16Rik	RIKEN cDNA D430036J16 gene	lncRNA gene	ENSMUSG00000097466	319405
D830030K20Rik	current symbol	MGI:2443830	D830030K20Rik	RIKEN cDNA D830030K20 gene	protein coding gene	ENSMUSG00000096039	320333
Dab1	current symbol	MGI:108554	Dab1	disabled 1	protein coding gene	ENSMUSG00000028519	13131
Dact2	current symbol	MGI:1920347	Dact2	dishevelled-binding antagonist of beta-catenin 2	protein coding gene	ENSMUSG00000048826	240025
Dagla	current symbol	MGI:2677061	Dagla	diacylglycerol lipase, alpha	protein coding gene	ENSMUSG00000035735	269060
Dazap2	current symbol	MGI:1344344	Dazap2	DAZ associated protein 2	protein coding gene	ENSMUSG00000000346	23994
Dbp	current symbol	MGI:94866	Dbp	D site albumin promoter binding protein	protein coding gene	ENSMUSG00000059824	13170
Dbpht2	current symbol	MGI:2679513	Dbpht2	DNA binding protein with his-thr domain	protein coding gene	ENSMUSG00000029878	386753
Dbx2	current symbol	MGI:107445	Dbx2	developing brain homeobox 2	protein coding gene	ENSMUSG00000045608	223843
Dcaf15	current symbol	MGI:2684420	Dcaf15	DDB1 and CUL4 associated factor 15	protein coding gene	ENSMUSG00000037103	212123
Dclk3	current symbol	MGI:3039580	Dclk3	doublecortin-like kinase 3	protein coding gene	ENSMUSG00000032500	245038
Dclre1a	current symbol	MGI:1930042	Dclre1a	DNA cross-link repair 1A	protein coding gene	ENSMUSG00000025077	55947
Dctd	current symbol	MGI:2444529	Dctd	dCMP deaminase	protein coding gene	ENSMUSG00000031562	320685
Dcxr	current symbol	MGI:1915130	Dcxr	dicarbonyl L-xylulose reductase	protein coding gene	ENSMUSG00000039450	67880
Ddhd1	current symbol	MGI:2150302	Ddhd1	DDHD domain containing 1	protein coding gene	ENSMUSG00000037697	114874
Ddit3	current symbol	MGI:109247	Ddit3	DNA-damage inducible transcript 3	protein coding gene	ENSMUSG00000025408	13198
Ddit3	current symbol	MGI:109247	Ddit3	DNA-damage inducible transcript 3	protein coding gene	ENSMUSG00000116429	13198
Ddit4	current symbol	MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	protein coding gene	ENSMUSG00000020108	74747
Ddr2	current symbol	MGI:1345277	Ddr2	discoidin domain receptor family, member 2	protein coding gene	ENSMUSG00000026674	18214
Deaf1	current symbol	MGI:1858496	Deaf1	DEAF1, transcription factor	protein coding gene	ENSMUSG00000058886	54006
Deptor	current symbol	MGI:2146322	Deptor	DEP domain containing MTOR-interacting protein	protein coding gene	ENSMUSG00000022419	97998
Dgat2	current symbol	MGI:1915050	Dgat2	diacylglycerol O-acyltransferase 2	protein coding gene	ENSMUSG00000030747	67800
Dgkg	current symbol	MGI:105060	Dgkg	diacylglycerol kinase, gamma	protein coding gene	ENSMUSG00000022861	110197
Dgkk	current symbol	MGI:3580254	Dgkk	diacylglycerol kinase kappa	protein coding gene	ENSMUSG00000062393	331374
Dgkz	current symbol	MGI:1278339	Dgkz	diacylglycerol kinase zeta	protein coding gene	ENSMUSG00000040479	104418
Dhdh	current symbol	MGI:1919005	Dhdh	dihydrodiol dehydrogenase (dimeric)	protein coding gene	ENSMUSG00000011382	71755
Dhrs3	current symbol	MGI:1315215	Dhrs3	dehydrogenase/reductase (SDR family) member 3	protein coding gene	ENSMUSG00000066026	20148
Dio2	current symbol	MGI:1338833	Dio2	deiodinase, iodothyronine, type II	protein coding gene	ENSMUSG00000007682	13371
Disp2	current symbol	MGI:2388733	Disp2	dispatched RND tramsporter family member 2	protein coding gene	ENSMUSG00000040035	214240
Disp3	current symbol	MGI:2444403	Disp3	dispatched RND transporter family member 3	protein coding gene	ENSMUSG00000041544	242748
Dkkl1	current symbol	MGI:1354963	Dkkl1	dickkopf-like 1	protein coding gene	ENSMUSG00000030792	50722
Dlk1	current symbol	MGI:94900	Dlk1	delta like non-canonical Notch ligand 1	protein coding gene	ENSMUSG00000040856	13386
Dll3	current symbol	MGI:1096877	Dll3	delta like canonical Notch ligand 3	protein coding gene	ENSMUSG00000003436	13389
Dlst	current symbol	MGI:1926170	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	protein coding gene	ENSMUSG00000004789	78920
Dmac2	current symbol	MGI:1913599	Dmac2	distal membrane arm assembly complex 2	protein coding gene	ENSMUSG00000057229	66349
Dmtn	current symbol	MGI:99670	Dmtn	dematin actin binding protein	protein coding gene	ENSMUSG00000022099	13829
Dnah9	current symbol	MGI:1289279	Dnah9	dynein, axonemal, heavy chain 9	protein coding gene	ENSMUSG00000056752	237806
Dnaja3	current symbol	MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	protein coding gene	ENSMUSG00000004069	83945
Dnaja4	current symbol	MGI:1927638	Dnaja4	DnaJ heat shock protein family (Hsp40) member A4	protein coding gene	ENSMUSG00000032285	58233
Dnajc16	current symbol	MGI:2442146	Dnajc16	DnaJ heat shock protein family (Hsp40) member C16	protein coding gene	ENSMUSG00000040697	214063
Dnajc27	current symbol	MGI:2443036	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27	protein coding gene	ENSMUSG00000020657	217378
Doc2a	current symbol	MGI:109446	Doc2a	double C2, alpha	protein coding gene	ENSMUSG00000052301	13446
Dok4	current symbol	MGI:2148865	Dok4	docking protein 4	protein coding gene	ENSMUSG00000040631	114255
Dok5	current symbol	MGI:1924079	Dok5	docking protein 5	protein coding gene	ENSMUSG00000027560	76829
Dolk	current symbol	MGI:2677836	Dolk	dolichol kinase	protein coding gene	ENSMUSG00000075419	227697
Dop1b	current symbol	MGI:1917278	Dop1b	DOP1 leucine zipper like protein B	protein coding gene	ENSMUSG00000022946	70028
Dpf1	current symbol	MGI:1352748	Dpf1	D4, zinc and double PHD fingers family 1	protein coding gene	ENSMUSG00000030584	29861
Dpf3	current symbol	MGI:1917377	Dpf3	D4, zinc and double PHD fingers, family 3	protein coding gene	ENSMUSG00000021221	70127
Dph3	current symbol	MGI:1922658	Dph3	diphthamine biosynthesis 3	protein coding gene	ENSMUSG00000021905	105638
Dpp6	current symbol	MGI:94921	Dpp6	dipeptidylpeptidase 6	protein coding gene	ENSMUSG00000061576	13483
Dpy19l1	current symbol	MGI:1915685	Dpy19l1	dpy-19-like 1 (C. elegans)	protein coding gene	ENSMUSG00000043067	244745
Draxin	current symbol	MGI:1917683	Draxin	dorsal inhibitory axon guidance protein	protein coding gene	ENSMUSG00000029005	70433
Drd2	current symbol	MGI:94924	Drd2	dopamine receptor D2	protein coding gene	ENSMUSG00000032259	13489
Dsc1	current symbol	MGI:109173	Dsc1	desmocollin 1	protein coding gene	ENSMUSG00000044322	13505
Dsc3	current symbol	MGI:1194993	Dsc3	desmocollin 3	protein coding gene	ENSMUSG00000059898	13507
Dsp	current symbol	MGI:109611	Dsp	desmoplakin	protein coding gene	ENSMUSG00000054889	109620
Dtnb	current symbol	MGI:1203728	Dtnb	dystrobrevin, beta	protein coding gene	ENSMUSG00000071454	13528
Dusp15	current symbol	MGI:1934928	Dusp15	dual specificity phosphatase-like 15	protein coding gene	ENSMUSG00000042662	252864
Dusp18	current symbol	MGI:1922469	Dusp18	dual specificity phosphatase 18	protein coding gene	ENSMUSG00000047205	75219
Dusp4	current symbol	MGI:2442191	Dusp4	dual specificity phosphatase 4	protein coding gene	ENSMUSG00000031530	319520
Dusp7	current symbol	MGI:2387100	Dusp7	dual specificity phosphatase 7	protein coding gene	ENSMUSG00000053716	235584
Dynlt3	current symbol	MGI:1914367	Dynlt3	dynein light chain Tctex-type 3	protein coding gene	ENSMUSG00000031176	67117
E2f1	current symbol	MGI:101941	E2f1	E2F transcription factor 1	protein coding gene	ENSMUSG00000027490	13555
Efhd1	current symbol	MGI:1921607	Efhd1	EF hand domain containing 1	protein coding gene	ENSMUSG00000026255	98363
Efnb1	current symbol	MGI:102708	Efnb1	ephrin B1	protein coding gene	ENSMUSG00000031217	13641
Efnb3	current symbol	MGI:109196	Efnb3	ephrin B3	protein coding gene	ENSMUSG00000003934	13643
Egln3	current symbol	MGI:1932288	Egln3	egl-9 family hypoxia-inducible factor 3	protein coding gene	ENSMUSG00000035105	112407
Ehmt2	current symbol	MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	protein coding gene	ENSMUSG00000013787	110147
Eif2b5	current symbol	MGI:2446176	Eif2b5	eukaryotic translation initiation factor 2B, subunit 5 epsilon	protein coding gene	ENSMUSG00000003235	224045
Eif4ebp1	current symbol	MGI:103267	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	protein coding gene	ENSMUSG00000031490	13685
Elfn2	current symbol	MGI:3608416	Elfn2	leucine rich repeat and fibronectin type III, extracellular 2	protein coding gene	ENSMUSG00000043460	207393
Elmo1	current symbol	MGI:2153044	Elmo1	engulfment and cell motility 1	protein coding gene	ENSMUSG00000041112	140580
Elmo2	current symbol	MGI:2153045	Elmo2	engulfment and cell motility 2	protein coding gene	ENSMUSG00000017670	140579
Eln	current symbol	MGI:95317	Eln	elastin	protein coding gene	ENSMUSG00000029675	13717
Elovl4	current symbol	MGI:1933331	Elovl4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	protein coding gene	ENSMUSG00000032262	83603
Elovl6	current symbol	MGI:2156528	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	protein coding gene	ENSMUSG00000041220	170439
Elovl7	current symbol	MGI:1921809	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	protein coding gene	ENSMUSG00000021696	74559
Emid1	current symbol	MGI:2155091	Emid1	EMI domain containing 1	protein coding gene	ENSMUSG00000034164	140703
Eml2	current symbol	MGI:1919455	Eml2	echinoderm microtubule associated protein like 2	protein coding gene	ENSMUSG00000040811	72205
Emx1	current symbol	MGI:95387	Emx1	empty spiracles homeobox 1	protein coding gene	ENSMUSG00000033726	13796
Enpp2	current symbol	MGI:1321390	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	protein coding gene	ENSMUSG00000022425	18606
Entpd2	current symbol	MGI:1096863	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2	protein coding gene	ENSMUSG00000015085	12496
Entpd3	current symbol	MGI:1321386	Entpd3	ectonucleoside triphosphate diphosphohydrolase 3	protein coding gene	ENSMUSG00000041608	215446
Epas1	current symbol	MGI:109169	Epas1	endothelial PAS domain protein 1	protein coding gene	ENSMUSG00000024140	13819
Epb41l1	current symbol	MGI:103010	Epb41l1	erythrocyte membrane protein band 4.1 like 1	protein coding gene	ENSMUSG00000027624	13821
Epb41l2	current symbol	MGI:103009	Epb41l2	erythrocyte membrane protein band 4.1 like 2	protein coding gene	ENSMUSG00000019978	13822
Epb41l4a	current symbol	MGI:103007	Epb41l4a	erythrocyte membrane protein band 4.1 like 4a	protein coding gene	ENSMUSG00000024376	13824
Epdr1	current symbol	MGI:2145369	Epdr1	ependymin related protein 1 (zebrafish)	protein coding gene	ENSMUSG00000002808	105298
Epha4	current symbol	MGI:98277	Epha4	Eph receptor A4	protein coding gene	ENSMUSG00000026235	13838
Epha8	current symbol	MGI:109378	Epha8	Eph receptor A8	protein coding gene	ENSMUSG00000028661	13842
Ephb3	current symbol	MGI:104770	Ephb3	Eph receptor B3	protein coding gene	ENSMUSG00000005958	13845
Ephx1	current symbol	MGI:95405	Ephx1	epoxide hydrolase 1, microsomal	protein coding gene	ENSMUSG00000038776	13849
Epm2a	current symbol	MGI:1341085	Epm2a	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	protein coding gene	ENSMUSG00000055493	13853
Epop	current symbol	MGI:2143991	Epop	elongin BC and polycomb repressive complex 2 associated protein	protein coding gene	ENSMUSG00000043439	103551
Esr1	current symbol	MGI:1352467	Esr1	estrogen receptor 1 (alpha)	protein coding gene	ENSMUSG00000019768	13982
Etl4	current symbol	MGI:95454	Etl4	enhancer trap locus 4	protein coding gene	ENSMUSG00000036617	208618
Etnk2	current symbol	MGI:2443760	Etnk2	ethanolamine kinase 2	protein coding gene	ENSMUSG00000070644	214253
Extl1	current symbol	MGI:1888742	Extl1	exostosin-like glycosyltransferase 1	protein coding gene	ENSMUSG00000028838	56219
F730043M19Rik	current symbol	MGI:2443237	F730043M19Rik	RIKEN cDNA F730043M19 gene	lncRNA gene	ENSMUSG00000052125	320046
Fads1	current symbol	MGI:1923517	Fads1	fatty acid desaturase 1	protein coding gene	ENSMUSG00000010663	76267
Faim2	current symbol	MGI:1919643	Faim2	Fas apoptotic inhibitory molecule 2	protein coding gene	ENSMUSG00000023011	72393
Fam107b	current symbol	MGI:1913790	Fam107b	family with sequence similarity 107, member B	protein coding gene	ENSMUSG00000026655	66540
Fam118a	current symbol	MGI:1920475	Fam118a	family with sequence similarity 118, member A	protein coding gene	ENSMUSG00000022434	73225
Fam129a		No associated gene					
Fam131c	current symbol	MGI:2685539	Fam131c	family with sequence similarity 131, member C	protein coding gene	ENSMUSG00000006218	277743
Fam136a	current symbol	MGI:1913738	Fam136a	family with sequence similarity 136, member A	protein coding gene	ENSMUSG00000057497	66488
Fam163b	current symbol	MGI:1926106	Fam163b	family with sequence similarity 163, member B	protein coding gene	ENSMUSG00000009216	109349
Fam171a1	current symbol	MGI:2442917	Fam171a1	family with sequence similarity 171, member A1	protein coding gene	ENSMUSG00000050530	269233
Fam184b	current symbol	MGI:2442958	Fam184b	family with sequence similarity 184, member B	protein coding gene	ENSMUSG00000015879	58227
Fam189a1	current symbol	MGI:1917888	Fam189a1	family with sequence similarity 189, member A1	protein coding gene	ENSMUSG00000030518	70638
Fam196b		No associated gene					
Fam198a		No associated gene					
Fam198b		No associated gene					
Fam210b	current symbol	MGI:1914267	Fam210b	family with sequence similarity 210, member B	protein coding gene	ENSMUSG00000027495	67017
Fam57b		No associated gene					
Fam98a	current symbol	MGI:1919972	Fam98a	family with sequence similarity 98, member A	protein coding gene	ENSMUSG00000002017	72722
Fank1	current symbol	MGI:1914180	Fank1	fibronectin type 3 and ankyrin repeat domains 1	protein coding gene	ENSMUSG00000053111	66930
Fblim1	current symbol	MGI:1921452	Fblim1	filamin binding LIM protein 1	protein coding gene	ENSMUSG00000006219	74202
Fbln1	current symbol	MGI:95487	Fbln1	fibulin 1	protein coding gene	ENSMUSG00000006369	14114
Fbxl2	current symbol	MGI:1919429	Fbxl2	F-box and leucine-rich repeat protein 2	protein coding gene	ENSMUSG00000032507	72179
Fbxo11	current symbol	MGI:2147134	Fbxo11	F-box protein 11	protein coding gene	ENSMUSG00000005371	225055
Fbxo7	current symbol	MGI:1917004	Fbxo7	F-box protein 7	protein coding gene	ENSMUSG00000001786	69754
Fbxw5	current symbol	MGI:1354731	Fbxw5	F-box and WD-40 domain protein 5	protein coding gene	ENSMUSG00000015095	30839
Fcgrt	current symbol	MGI:103017	Fcgrt	Fc fragment of IgG receptor and transporter	protein coding gene	ENSMUSG00000003420	14132
Fer1l5	current symbol	MGI:3616091	Fer1l5	fer-1-like 5 (C. elegans)	protein coding gene	ENSMUSG00000037432	100534273
Fgd5	current symbol	MGI:2443369	Fgd5	FYVE, RhoGEF and PH domain containing 5	protein coding gene	ENSMUSG00000034037	232237
Fgfr3	current symbol	MGI:95524	Fgfr3	fibroblast growth factor receptor 3	protein coding gene	ENSMUSG00000054252	14184
Fgfrl1	current symbol	MGI:2150920	Fgfrl1	fibroblast growth factor receptor-like 1	protein coding gene	ENSMUSG00000008090	116701
Fibcd1	current symbol	MGI:2138953	Fibcd1	fibrinogen C domain containing 1	protein coding gene	ENSMUSG00000026841	98970
Fibin	current symbol	MGI:1914856	Fibin	fin bud initiation factor homolog (zebrafish)	protein coding gene	ENSMUSG00000074971	67606
Flot2	current symbol	MGI:103309	Flot2	flotillin 2	protein coding gene	ENSMUSG00000061981	14252
Fn1	current symbol	MGI:95566	Fn1	fibronectin 1	protein coding gene	ENSMUSG00000026193	14268
Fndc1	current symbol	MGI:1915905	Fndc1	fibronectin type III domain containing 1	protein coding gene	ENSMUSG00000071984	68655
Fndc10	current symbol	MGI:2444790	Fndc10	fibronectin type III domain containing 10	protein coding gene	ENSMUSG00000074738	230991
